is_done,probability,data_quality_index
cancel,0.395934751757301,0.14285714285714285
cancel,0.8057107042667367,0.14285714285714285
cancel,0.5181550847489206,0.14285714285714285
cancel,0.46329077458801476,0.14285714285714285
done,0.3798559593557396,1.0
done,0.7146237974578369,1.0
done,0.7466014715096811,0.5
done,0.657164735839377,0.5
cancel,0.41191531481839866,0.14285714285714285
done,0.8500489777007136,1.0
cancel,0.2553661940201705,0.14285714285714285
cancel,0.8496196098418201,0.14285714285714285
done,0.4483321413666499,1.0
done,0.40116570977277033,1.0
done,0.4471662727440935,1.0
done,0.3194958583616022,1.0
done,0.24834829614907594,1.0
done,0.279815085948682,1.0
done,0.29756450218202524,1.0
done,0.20487527364168373,1.0
done,0.25922930369855995,1.0
done,0.14071601564846836,1.0
cancel,0.6161228285759193,0.14285714285714285
done,0.6222038511791349,1.0
done,0.411471588988861,1.0
done,0.3827345382513614,1.0
cancel,0.6127116791399444,0.14285714285714285
done,0.7023731791788398,1.0
done,0.43038418357738967,1.0
done,0.6571843907733718,1.0
done,0.6921009398677079,1.0
cancel,0.43138332129730644,0.14285714285714285
cancel,0.5567631025335441,0.14285714285714285
done,0.79295912517451,1.0
done,0.10079454511517105,1.0
done,0.32243577107174715,1.0
cancel,0.4072680339551076,0.14285714285714285
done,0.18640584685217368,1.0
done,0.39750147550292103,1.0
done,0.434152695182395,1.0
cancel,0.45935065409511505,0.14285714285714285
done,0.7990067295783821,1.0
done,0.31673361573070985,1.0
done,0.33605786234757984,1.0
done,0.388769168378025,1.0
done,0.7891451924487466,1.0
done,0.8402700724309153,1.0
done,0.8173536736872821,1.0
done,0.3728884092608278,1.0
cancel,0.7576990794447515,0.14285714285714285
done,0.7447322001425523,1.0
done,0.21482542099472832,1.0
done,0.3305528336276549,1.0
done,0.3439607639924007,1.0
done,0.2302713165298427,1.0
done,0.295035455852541,1.0
done,0.4447859215239474,1.0
done,0.5936562152613925,1.0
done,0.4063876631633856,1.0
done,0.5500370576086082,1.0
done,0.36338410088817896,1.0
done,0.5390123527610688,0.5
cancel,0.3876665612673417,0.14285714285714285
cancel,0.4342116092206039,0.14285714285714285
done,0.3333172135590164,1.0
done,0.5610788593733551,1.0
done,0.5641173424786834,0.5
cancel,0.6847856924209406,0.125
cancel,0.6844097210756188,0.14285714285714285
cancel,0.8306450789008003,0.14285714285714285
done,0.7998889530541266,1.0
done,0.3242531840649361,1.0
done,0.4102977964344624,1.0
done,0.4651166019318222,0.5
done,0.5460624621136921,0.5
done,0.34026879754600453,1.0
done,0.24334814739686408,1.0
cancel,0.2517038483807718,0.14285714285714285
done,0.4694674657379691,1.0
cancel,0.5430159956891595,0.14285714285714285
done,0.460829634869291,1.0
done,0.6686467533286812,1.0
done,0.7952225097833088,1.0
done,0.5513622709080702,1.0
cancel,0.33255485737683127,0.3333333333333333
done,0.22037897910142473,1.0
done,0.6760545613320277,1.0
done,0.4966629340121433,1.0
done,0.662186056673299,1.0
done,0.6244179421925867,1.0
done,0.7807165129097738,1.0
done,0.14596410993044273,0.5
done,0.6852520730285477,1.0
done,0.6707885636953778,1.0
done,0.28433946650441816,1.0
done,0.4679110347335897,1.0
cancel,0.3774932324977758,0.14285714285714285
cancel,0.5848654002635355,0.14285714285714285
cancel,0.7695995243274978,0.14285714285714285
done,0.672527577461212,1.0
done,0.6948423917922226,1.0
cancel,0.6359843686014972,0.125
done,0.6168220613951855,1.0
done,0.31157249398087866,1.0
done,0.2886389307240221,1.0
done,0.18732792272302334,1.0
done,0.20157338179713893,1.0
done,0.610709843052034,1.0
done,0.4743008114754181,1.0
done,0.2798136811107695,1.0
done,0.23469232090653958,1.0
done,0.2960362845968605,1.0
cancel,0.5335701799953003,0.14285714285714285
cancel,0.7095691300492473,0.14285714285714285
cancel,0.6153774816252451,0.14285714285714285
done,0.32553383767309985,1.0
cancel,0.33561670217518974,0.14285714285714285
cancel,0.5878024559766694,0.14285714285714285
done,0.7427508425028568,1.0
done,0.47353357601516133,1.0
done,0.10605390998441544,1.0
